0,1,2,3,4,5,6
18,19,21,29,39,45,50
18,24,28,29,33,41,46
19,21,25,30,36,37,40
3,13,14,20,30,45,49
1,8,22,25,29,40,44
1,18,23,25,27,28,36
2,3,7,27,31,39,40
2,9,23,31,33,36,41
2,11,12,22,23,29,43
3,16,20,21,24,37,42
5,9,11,16,34,40,42
7,11,15,19,21,23,44
8,9,14,36,39,46,50
8,14,21,32,34,36,39
9,10,11,17,37,43,45
1,5,10,18,20,40,42
4,5,11,16,22,46,50
4,7,11,26,34,36,46
4,10,11,21,30,31,43
4,12,16,20,30,34,38
6,14,19,21,23,38,47
12,15,16,19,30,41,46
1,6,12,21,34,37,47
2,13,14,21,36,38,45
7,9,11,18,22,30,31
8,16,30,37,40,44,49
10,11,13,24,30,31,45
2,5,10,11,14,23,33
7,8,18,25,32,35,42
8,13,15,16,22,30,50
4,12,16,17,33,36,44
1,2,23,32,35,36,45
17,24,27,34,38,42,48
9,11,20,22,33,36,46
26,37,42,44,46,49,50
11,21,23,25,28,41,43
2,7,13,17,33,34,46
2,9,25,27,35,36,37
5,13,17,19,22,33,45
8,12,15,18,20,34,40
11,15,18,19,27,43,50
20,26,35,41,44,45,48
23,31,34,38,40,45,50
1,4,20,21,32,37,50
1,10,12,14,25,34,48
2,11,19,23,34,40,43
6,18,26,30,36,37,39
5,23,31,35,36,37,43
15,16,27,31,32,40,49
24,25,27,28,38,39,44
4,12,13,15,18,30,50
4,21,24,25,26,27,42
1,16,21,24,35,37,39
18,21,28,29,31,32,49
8,12,23,25,29,43,46
8,12,16,30,38,48,50
4,29,30,37,38,43,44
4,9,11,13,21,37,48
12,21,25,29,34,38,49
2,9,10,22,31,35,49
1,4,20,33,44,45,49
9,21,30,33,38,39,46
5,13,14,21,36,37,43
5,7,14,23,24,46,47
1,4,9,15,18,24,31
4,5,19,21,35,40,43
5,10,21,25,32,39,49
5,11,25,28,30,32,45
6,10,13,26,36,37,46
6,23,27,30,32,41,47
8,12,14,18,23,35,49
10,12,16,20,23,27,36
13,16,20,21,23,34,45
14,17,18,21,28,37,41
9,15,35,41,42,45,46
2,10,11,14,20,25,28
3,5,8,20,23,27,28
3,9,10,14,35,36,46
3,18,24,26,29,31,50
7,23,26,33,37,42,44
9,18,27,28,42,48,50
6,8,13,27,41,46,47
1,3,9,23,28,39,42
2,12,14,15,28,40,43
11,17,29,33,39,40,42
6,18,21,30,31,34,38
3,4,7,19,44,48,49
4,6,18,27,28,30,40
7,9,19,20,26,32,35
5,7,14,21,26,34,49
19,20,23,31,37,46,48
2,7,14,15,22,23,45
2,13,14,24,36,39,47
5,16,25,35,41,42,45
7,20,23,31,38,44,48
12,25,29,32,36,37,46
15,19,28,29,31,32,47
2,9,11,29,33,39,44
