0,1,2,3,4,5,6
06,08,13,27,41,46,47
01,03,09,23,28,39,42
02,12,14,15,28,40,43
11,17,29,33,39,40,42
06,18,21,30,31,34,38
03,04,07,19,44,48,49
04,06,18,27,28,30,40
07,09,19,20,26,32,35
05,07,14,21,26,34,49
19,20,23,31,37,46,48
02,07,14,15,22,23,45
02,13,14,24,36,39,47
05,16,25,35,41,42,45
07,20,23,31,38,44,48
12,25,29,32,36,37,46
15,19,28,29,31,32,47
02,09,11,29,33,39,44
01,11,12,30,34,39,43
02,06,15,18,23,33,43
02,08,20,21,29,34,37
08,27,30,44,46,47,50
01,04,08,10,12,17,41
03,10,13,19,21,45,49
04,06,12,30,32,33,34
01,04,10,12,13,26,41
01,14,18,36,45,46,47
02,04,13,15,36,40,41
02,06,11,15,29,33,34
02,21,28,32,33,37,42
02,22,32,38,40,43,50
03,04,07,14,31,38,41
03,09,11,17,31,35,49
03,10,15,18,29,48,49
03,14,20,25,26,32,34
05,10,22,39,42,47,50
05,19,22,23,26,28,47
06,07,13,23,24,26,30
06,23,26,34,41,44,46
06,27,29,30,31,45,50
14,17,19,24,27,32,40
18,20,23,25,30,40,45
18,24,28,32,37,38,41
21,27,31,34,37,42,46
04,05,09,19,28,34,44
01,02,17,22,24,28,47
01,10,17,22,29,44,48
02,05,11,14,29,33,40
05,22,23,33,36,38,39
06,09,11,25,33,34,49
06,14,22,23,26,33,34
07,12,16,28,34,41,45
08,20,23,26,33,42,46
09,13,16,26,29,30,35
10,11,15,28,41,44,48
07,12,16,26,40,45,49
04,07,18,23,30,34,44
06,07,08,10,20,30,44
06,13,16,27,28,38,45
10,11,13,23,24,31,45
14,18,35,41,44,47,50
17,21,25,26,33,42,48
04,06,09,15,22,24,28
05,06,13,16,26,29,38
08,19,23,27,36,41,48
14,16,17,18,24,48,49
18,21,25,31,34,35,49
01,07,09,28,38,48,50
03,10,13,18,20,41,48
06,09,12,13,24,29,33
08,09,37,38,40,43,49
02,11,22,25,32,40,44
01,05,06,24,27,28,32
04,15,16,17,35,46,50
06,12,19,27,30,32,44
02,05,06,16,17,47,48
02,07,17,23,26,29,31
02,12,22,27,37,42,49
02,13,15,28,33,44,47
03,05,17,18,23,28,43
03,27,36,40,42,45,48
05,10,23,30,33,39,41
10,12,19,38,41,45,47
12,17,22,28,38,49,50
07,18,22,26,35,41,50
01,05,20,32,36,37,46
02,11,28,41,46,47,49
03,04,08,14,18,36,39
03,05,07,08,26,31,39
09,16,23,39,40,45,47
12,16,17,21,30,45,50
27,29,34,35,37,45,46
02,09,29,30,31,35,37
01,05,16,23,26,29,47
02,07,17,22,28,32,48
05,09,16,31,33,38,46
07,08,11,16,31,42,43
05,08,09,28,32,48,50
01,05,13,17,23,32,39
02,14,24,27,34,38,49
01,21,34,38,39,40,46
01,02,05,11,20,30,39
01,02,16,32,44,46,50
03,22,37,39,41,43,44
09,17,22,33,36,45,46
09,21,26,28,30,37,44
18,24,25,30,31,33,48
08,16,19,22,28,31,38
01,04,05,06,10,12,31
01,05,16,18,32,39,46
01,12,15,23,26,30,33
02,04,05,27,43,45,49
02,05,10,27,32,33,38
02,09,11,12,18,22,36
02,12,17,28,32,40,50
03,11,12,20,27,40,50
04,05,06,16,40,42,46
04,05,09,14,20,22,40
04,06,13,22,27,29,41
04,07,13,19,32,37,49
04,11,13,17,27,41,49
05,10,14,21,34,35,48
05,13,15,28,42,43,48
06,07,20,25,28,33,50
06,10,16,21,27,31,32
08,09,11,18,33,38,43
11,14,17,18,28,46,47
15,20,24,25,34,36,39
17,21,34,36,38,39,45
19,20,23,30,37,42,49
07,10,11,24,39,43,48
02,04,07,09,22,24,50
02,08,10,19,26,28,31
03,05,10,34,36,38,43
04,14,21,22,26,27,39
05,13,14,26,31,37,41
06,09,11,27,40,42,49
07,15,26,39,43,46,47
09,10,21,23,34,37,47
10,22,24,27,38,42,44
12,32,35,37,40,43,50
14,19,20,24,32,33,39
15,17,22,29,35,36,37
26,30,31,35,37,38,48
17,20,27,29,37,39,41
01,08,12,15,16,32,47
01,16,19,31,37,46,49
02,07,16,40,41,44,50
03,04,10,12,16,27,49
04,06,09,14,26,34,43
05,09,24,35,36,38,40
06,16,26,33,40,46,50
09,14,20,28,34,37,47
07,22,26,35,46,47,49
01,11,18,25,31,39,48
01,13,15,21,23,24,38
02,03,09,14,26,33,46
04,07,20,29,31,36,44
05,11,15,18,20,24,46
03,07,11,13,33,41,43
05,09,34,38,39,42,47
03,09,21,35,44,47,48
17,18,27,38,39,40,47
09,20,21,22,25,26,37
03,04,21,33,38,44,45
11,12,22,33,37,48,49
08,14,31,36,39,46,47
02,03,06,13,37,42,46
03,12,17,22,29,31,48
01,03,22,30,31,37,40
01,16,24,28,30,31,47
04,16,19,32,35,36,38
01,08,15,16,32,39,40
08,14,16,17,29,41,42
05,12,15,23,26,38,41
05,27,34,37,39,41,47
09,11,14,21,22,24,41
22,23,24,25,37,40,49
07,30,32,40,47,48,50
11,19,22,26,33,46,48
03,04,10,11,26,28,40
25,28,32,41,42,44,45
03,12,25,36,37,42,49
03,06,09,37,40,41,48
03,18,19,22,23,39,47
05,13,24,28,44,47,50
09,18,23,36,39,43,48
04,09,10,15,32,37,44
12,16,26,35,36,40,47
08,09,19,26,27,31,46
09,10,13,21,40,41,43
02,15,21,29,40,47,50
03,06,09,22,29,38,39
01,04,12,15,22,24,43
01,05,13,18,31,33,37
01,09,15,16,18,21,24
02,03,17,26,28,32,47
02,04,06,12,24,28,41
02,06,10,33,34,46,49
02,07,08,18,25,42,50
02,07,11,24,25,30,32
02,15,17,18,26,31,50
02,17,21,23,24,26,28
02,19,23,32,35,40,49
02,20,27,30,31,33,48
02,23,26,37,39,49,50
02,30,32,35,43,44,48
03,04,05,15,30,31,37
04,06,29,30,33,47,48
04,07,13,15,18,48,49
04,22,24,25,29,33,48
05,09,22,23,24,29,36
06,09,11,19,26,33,39
06,09,18,25,34,41,49
07,09,10,23,34,40,50
07,14,15,22,28,33,34
07,21,23,29,40,47,49
08,10,16,17,21,33,46
08,12,15,19,22,43,47
08,16,20,26,29,30,32
09,19,21,22,27,39,50
11,12,13,15,24,35,46
11,21,27,38,41,42,45
17,21,22,27,29,34,38
03,09,10,14,15,19,20
01,02,05,21,34,45,50
01,02,17,18,20,21,24
01,07,11,20,22,24,25
01,09,10,21,34,37,40
01,29,30,31,42,44,46
02,05,10,15,32,37,45
02,05,26,29,37,42,43
02,14,17,22,25,35,40
02,17,21,30,36,40,47
02,25,34,36,39,42,43
04,06,10,23,32,33,48
05,06,20,36,37,39,41
05,07,08,19,28,39,49
06,10,28,36,40,42,46
06,11,20,22,28,43,47
06,14,15,17,34,35,47
06,15,19,23,36,37,38
08,18,20,22,26,28,34
09,11,17,20,21,22,33
09,13,29,33,43,46,49
09,17,24,28,31,37,40
09,19,41,42,44,46,49
10,19,33,34,36,43,47
11,26,32,41,42,48,49
13,17,20,23,28,36,40
13,19,33,37,40,41,50
22,27,29,38,40,45,48
05,20,21,22,32,37,41
01,05,08,10,12,21,38
01,09,13,16,18,28,45
01,11,12,16,20,30,39
02,06,09,13,14,31,45
02,06,09,18,36,42,43
02,09,10,16,17,21,42
03,08,17,37,38,49,50
04,06,11,15,28,32,50
04,06,16,17,23,35,48
04,09,24,39,43,45,49
04,11,12,15,23,26,27
05,11,14,20,24,31,38
05,11,16,25,27,29,47
06,09,32,36,44,45,48
07,10,11,23,31,33,43
07,15,20,32,34,45,48
08,11,12,13,26,46,48
11,14,21,24,30,44,49
13,20,22,28,31,37,39
14,20,21,23,24,35,40
16,19,33,37,39,44,48
22,25,27,32,34,39,48
05,09,10,25,27,29,38
01,12,13,26,40,45,49
01,14,16,25,27,31,38
01,35,36,40,43,49,50
03,04,16,20,24,27,42
